timestamp,temperature,relative_humidity,wind_speed,wind_direction
20160423T0100,12.690529,85.0,4.452954,255.96376
20160423T0200,12.890529,84.0,3.2599385,263.65982
20160423T0300,12.720529,85.0,3.671294,281.30994
20160423T0400,12.060529,92.0,4.510787,298.61047
20160423T0500,11.500529,96.0,4.6938257,327.5288
20160423T0600,11.280529,96.0,3.9763298,5.194412
20160423T0700,11.220529,96.0,0.71999997,360.0
20160423T0800,11.520529,94.0,2.16,270.0
20160423T0900,12.030529,93.0,1.4399999,270.0
20160423T1000,12.460529,91.0,2.1897945,279.46234
20160423T1100,12.710529,92.0,4.896529,287.10272
20160423T1200,13.350529,87.0,5.1544156,257.90524
20160423T1300,13.840529,82.0,7.9932976,262.23483
20160423T1400,14.470529,79.0,17.0763,304.69516
20160423T1500,11.260529,91.0,25.420181,347.73523
20160423T1600,9.060529,91.0,26.758923,349.14362
20160423T1700,9.180529,87.0,27.086262,355.4261
20160423T1800,9.100529,83.0,30.248568,358.63608
20160423T1900,8.170529,82.0,26.341572,356.0818
20160423T2000,7.3605285,81.0,23.110207,355.53284
20160423T2100,6.7605286,86.0,19.48661,348.2749
20160423T2200,6.4405284,86.0,16.454008,349.9194
20160423T2300,6.1305285,89.0,12.57426,346.7595
20160424T0000,5.9305286,84.0,17.339897,355.23636
20160424T0100,5.2805285,83.0,13.324863,1.5481567
20160424T0200,5.1505284,85.0,11.928989,354.8056
20160424T0300,4.8405285,84.0,13.324863,358.45184
20160424T0400,3.2805285,87.0,12.413476,343.1416
20160424T0500,1.4105287,91.0,9.339208,332.4472
20160424T0600,0.86052865,92.0,5.634891,296.56506
20160424T0700,1.1905286,92.0,5.04,270.0
20160424T0800,2.1505284,88.0,6.9247384,297.89728
20160424T0900,3.7405286,78.0,11.770403,336.57132
20160424T1000,4.9805284,64.0,15.937878,341.56506
20160424T1100,5.3005285,61.0,15.7908325,335.77228
20160424T1200,5.4405284,60.0,13.979872,325.4915
20160424T1300,6.3805285,58.0,12.096214,306.52887
20160424T1400,7.7105284,50.0,16.548256,314.11862
20160424T1500,8.850529,49.0,13.0447235,297.9795
20160424T1600,9.220529,46.0,14.007655,295.90652
20160424T1700,9.630529,43.0,18.11841,310.97174
20160424T1800,9.130529,45.0,17.10284,310.73212
20160424T1900,8.290529,52.0,19.201874,300.41107
20160424T2000,6.9005284,66.0,16.75064,298.21735
20160424T2100,5.8505287,76.0,13.979872,304.50854
20160424T2200,3.5405285,90.0,15.315873,293.55228
20160424T2300,3.8005285,89.0,13.276144,282.5288
20160425T0000,4.2405286,84.0,17.727943,336.03754
20160425T0100,3.3405285,89.0,23.18579,334.23068
20160425T0200,3.2205286,84.0,17.727943,336.03754
20160425T0300,2.8005285,78.0,19.486609,334.85522
20160425T0400,1.6005287,86.0,13.004922,318.36646
20160425T0500,1.8205286,82.0,11.770403,293.4287
20160425T0600,0.80052865,87.0,12.599999,270.0
20160425T0700,-0.59947133,89.0,17.81909,261.8699
20160425T0800,0.84052867,81.0,19.469976,266.8202
20160425T0900,2.1705287,73.0,18.359999,270.0
20160425T1000,3.2805285,66.0,19.443333,271.0609
20160425T1100,3.4705286,66.0,23.42491,267.35748
20160425T1200,4.9405284,61.0,24.50381,267.47388
20160425T1300,5.9305286,55.0,24.162945,266.58344
20160425T1400,9.090529,44.0,25.325686,275.7106
20160425T1500,9.620529,44.0,26.302181,272.3533
20160425T1600,9.940529,44.0,28.820242,267.85242
20160425T1700,9.820529,46.0,33.74796,258.9298
20160425T1800,9.710529,51.0,38.768173,259.83792
20160425T1900,8.120529,60.0,36.691753,254.0546
20160425T2000,8.000528,59.0,32.535713,245.1363
20160425T2100,7.6605287,65.0,32.682766,243.15271
20160425T2200,7.0505285,72.0,30.25928,235.1755
20160425T2300,6.8905287,71.0,32.056175,237.38075
20160426T0000,7.4905286,69.0,27.792374,253.44293
20160426T0100,7.1405287,74.0,29.370352,258.69006
20160426T0200,6.7705283,77.0,31.259941,255.32361
20160426T0300,6.5105286,78.0,34.509335,249.86371
20160426T0400,5.9305286,78.0,37.10795,247.16635
20160426T0500,5.7805285,78.0,39.04631,247.2176
20160426T0600,5.6205287,78.0,38.773186,248.1986
20160426T0700,5.7405286,78.0,37.16902,248.4047
20160426T0800,6.3405285,77.0,38.023907,251.22197
20160426T0900,6.8205285,75.0,39.658867,254.1975
20160426T1000,7.5105286,73.0,38.592266,261.41638
20160426T1100,7.6505284,73.0,37.467678,267.7974
20160426T1200,7.790529,69.0,34.92742,271.1812
20160426T1300,7.3905287,72.0,33.96233,274.8645
20160426T1400,3.9705286,85.0,18.359999,360.0
20160426T1500,5.7205286,82.0,12.7279215,331.26022
20160426T1600,5.7405286,83.0,6.9153743,308.65982
20160426T1700,5.9505286,84.0,4.510787,298.61047
